total atom count	total energy	atom energy	cohesive energy	total kpoints	kpoints mesh	energy cutoff (ENCUT)	Scaling	lattice constant
2	-3.14199142	-0.07677096	-1.49422475	144	(12, 12, 1)	300.0	1.0	3.9837168580563134
2	-3.14202175	-0.07677096	-1.494239915	144	(12, 12, 1)	350.0	1.0	3.9837168580563134
2	-3.14226143	-0.07677096	-1.494359755	144	(12, 12, 1)	400.0	1.0	3.9837168580563134
2	-3.14255928	-0.07677096	-1.49450868	144	(12, 12, 1)	450.0	1.0	3.9837168580563134
2	-3.14267803	-0.07677096	-1.494568055	144	(12, 12, 1)	500.0	1.0	3.9837168580563134
2	-3.14272099	-0.07677096	-1.494589535	144	(12, 12, 1)	550.0	1.0	3.9837168580563134
2	-3.14272733	-0.07677096	-1.494592705	144	(12, 12, 1)	600.0	1.0	3.9837168580563134
2	-3.14273503	-0.07677096	-1.494596555	144	(12, 12, 1)	650.0	1.0	3.9837168580563134
2	-3.1427605	-0.07677096	-1.49460929	144	(12, 12, 1)	700.0	1.0	3.9837168580563134
2	-3.14279591	-0.07677096	-1.494626995	144	(12, 12, 1)	750.0	1.0	3.9837168580563134
2	-3.14282883	-0.07677096	-1.494643455	144	(12, 12, 1)	800.0	1.0	3.9837168580563134
2	-3.14285574	-0.07677096	-1.49465691	144	(12, 12, 1)	850.0	1.0	3.9837168580563134
