total atom count	total energy	fermi energy	total kpoints	calculated kpoints	kpoints mesh	lattice constant	symmetry precision (SYMPREC)	energy cutoff (ENCUT)	k-point spacing (KSPACING)	volume	time step (POTIM)	mixing parameter (AMIX)	mixing parameter (BMIX)	electronic convergence (EDIFF)	force convergence (EDIFFG)	elapsed time (sec)	Scaling	a1	a2	a3
2	-3.14199142	-3.80393942	144	19	(12, 12, 1)	3.9837168580563134	1e-05	300.0	None	None	0.5	None	None	1e-06	-0.001	16.442	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14202175	-3.80393079	144	19	(12, 12, 1)	3.9837168580563134	1e-05	350.0	None	None	0.5	None	None	1e-06	-0.001	17.158	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14226143	-3.80393412	144	19	(12, 12, 1)	3.9837168580563134	1e-05	400.0	None	None	0.5	None	None	1e-06	-0.001	20.359	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14255928	-3.80393941	144	19	(12, 12, 1)	3.9837168580563134	1e-05	450.0	None	None	0.5	None	None	1e-06	-0.001	22.988	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14267803	-3.80394997	144	19	(12, 12, 1)	3.9837168580563134	1e-05	500.0	None	None	0.5	None	None	1e-06	-0.001	28.19	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14272099	-3.8039461	144	19	(12, 12, 1)	3.9837168580563134	1e-05	550.0	None	None	0.5	None	None	1e-06	-0.001	29.703	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14272733	-3.80394035	144	19	(12, 12, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	41.114	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14273503	-3.80393738	144	19	(12, 12, 1)	3.9837168580563134	1e-05	650.0	None	None	0.5	None	None	1e-06	-0.001	49.281	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.1427605	-3.80394084	144	19	(12, 12, 1)	3.9837168580563134	1e-05	700.0	None	None	0.5	None	None	1e-06	-0.001	52.946	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14279591	-3.80394445	144	19	(12, 12, 1)	3.9837168580563134	1e-05	750.0	None	None	0.5	None	None	1e-06	-0.001	61.184	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14282883	-3.80394861	144	19	(12, 12, 1)	3.9837168580563134	1e-05	800.0	None	None	0.5	None	None	1e-06	-0.001	74.751	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14285574	-3.80395021	144	19	(12, 12, 1)	3.9837168580563134	1e-05	850.0	None	None	0.5	None	None	1e-06	-0.001	75.636	1.0	3.983716857408417	3.983716857408417	40.0
