total atom count	total energy	atom energy	cohesive energy	total kpoints	kpoints mesh	energy cutoff (ENCUT)	Scaling	lattice constant
2	-3.11979297	-0.07677096	-1.4831255250000002	16	(4, 4, 1)	600.0	1.0	3.9837168580563134
2	-3.14059096	-0.07677096	-1.49352452	25	(5, 5, 1)	600.0	1.0	3.9837168580563134
2	-3.0636667	-0.07677096	-1.4550623900000001	36	(6, 6, 1)	600.0	1.0	3.9837168580563134
2	-3.147863	-0.07677096	-1.49716054	49	(7, 7, 1)	600.0	1.0	3.9837168580563134
2	-3.17613373	-0.07677096	-1.511295905	64	(8, 8, 1)	600.0	1.0	3.9837168580563134
2	-3.14505003	-0.07677096	-1.4957540550000001	81	(9, 9, 1)	600.0	1.0	3.9837168580563134
2	-3.15923986	-0.07677096	-1.50284897	100	(10, 10, 1)	600.0	1.0	3.9837168580563134
2	-3.14153947	-0.07677096	-1.4939987750000001	121	(11, 11, 1)	600.0	1.0	3.9837168580563134
2	-3.14272733	-0.07677096	-1.494592705	144	(12, 12, 1)	600.0	1.0	3.9837168580563134
2	-3.14589374	-0.07677096	-1.49617591	169	(13, 13, 1)	600.0	1.0	3.9837168580563134
2	-3.15603761	-0.07677096	-1.501247845	196	(14, 14, 1)	600.0	1.0	3.9837168580563134
2	-3.14941368	-0.07677096	-1.49793588	225	(15, 15, 1)	600.0	1.0	3.9837168580563134
2	-3.15275829	-0.07677096	-1.499608185	256	(16, 16, 1)	600.0	1.0	3.9837168580563134
2	-3.14835189	-0.07677096	-1.497404985	289	(17, 17, 1)	600.0	1.0	3.9837168580563134
2	-3.14694191	-0.07677096	-1.496699995	324	(18, 18, 1)	600.0	1.0	3.9837168580563134
2	-3.14916607	-0.07677096	-1.4978120750000001	361	(19, 19, 1)	600.0	1.0	3.9837168580563134
2	-3.15057981	-0.07677096	-1.498518945	400	(20, 20, 1)	600.0	1.0	3.9837168580563134
2	-3.151025	-0.07677096	-1.4987415400000001	441	(21, 21, 1)	600.0	1.0	3.9837168580563134
2	-3.15010896	-0.07677096	-1.49828352	484	(22, 22, 1)	600.0	1.0	3.9837168580563134
2	-3.14982977	-0.07677096	-1.4981439250000002	529	(23, 23, 1)	600.0	1.0	3.9837168580563134
2	-3.14826333	-0.07677096	-1.497360705	576	(24, 24, 1)	600.0	1.0	3.9837168580563134
2	-3.14984807	-0.07677096	-1.498153075	625	(25, 25, 1)	600.0	1.0	3.9837168580563134
2	-3.1498593	-0.07677096	-1.4981586900000001	676	(26, 26, 1)	600.0	1.0	3.9837168580563134
2	-3.14962958	-0.07677096	-1.49804383	841	(29, 29, 1)	600.0	1.0	3.9837168580563134
2	-3.14981054	-0.07677096	-1.49813431	961	(31, 31, 1)	600.0	1.0	3.9837168580563134
2	-3.14983947	-0.07677096	-1.498148775	1024	(32, 32, 1)	600.0	1.0	3.9837168580563134
