total atom count	total energy	atom energy	cohesive energy	total kpoints	kpoints mesh	energy cutoff (ENCUT)	Scaling	lattice constant
2	-7.52230344	-0.03838517	-3.72276655	1331	(11, 11, 11)	600.0	1.0	2.2647826534091178
2	-7.53107657	-0.03838517	-3.7271531149999997	2197	(13, 13, 13)	600.0	1.0	2.2647826534091178
2	-7.53535433	-0.03838517	-3.7292919949999996	3375	(15, 15, 15)	600.0	1.0	2.2647826534091178
2	-7.52773248	-0.03838517	-3.72548107	4913	(17, 17, 17)	600.0	1.0	2.2647826534091178
2	-7.53838348	-0.03838517	-3.73080657	6859	(19, 19, 19)	600.0	1.0	2.2647826534091178
2	-7.52954488	-0.03838517	-3.72638727	9261	(21, 21, 21)	600.0	1.0	2.2647826534091178
2	-7.53622253	-0.03838517	-3.7297260949999997	12167	(23, 23, 23)	600.0	1.0	2.2647826534091178
2	-7.53267507	-0.03838517	-3.7279523649999997	15625	(25, 25, 25)	600.0	1.0	2.2647826534091178
2	-7.53368936	-0.03838517	-3.72845951	19683	(27, 27, 27)	600.0	1.0	2.2647826534091178
2	-7.534871	-0.03838517	-3.7290503299999997	24389	(29, 29, 29)	600.0	1.0	2.2647826534091178
2	-7.53307238	-0.03838517	-3.72815102	29791	(31, 31, 31)	600.0	1.0	2.2647826534091178
2	-7.53558514	-0.03838517	-3.7294074	35937	(33, 33, 33)	600.0	1.0	2.2647826534091178
2	-7.53299837	-0.03838517	-3.7281140149999996	42875	(35, 35, 35)	600.0	1.0	2.2647826534091178
2	-7.53493269	-0.03838517	-3.7290811749999997	50653	(37, 37, 37)	600.0	1.0	2.2647826534091178
2	-7.53389734	-0.03838517	-3.7285635	59319	(39, 39, 39)	600.0	1.0	2.2647826534091178
2	-7.53418524	-0.03838517	-3.72870745	68921	(41, 41, 41)	600.0	1.0	2.2647826534091178
