total atom count	total energy	atom energy	cohesive energy	total kpoints	kpoints mesh	energy cutoff (ENCUT)	Scaling	lattice constant
2	-7.52257069	-0.03838517	-3.722900175	1331	(11, 11, 11)	600.0	1.0	2.2647826534091178
2	-7.5312028	-0.03838517	-3.72721623	2197	(13, 13, 13)	600.0	1.0	2.2647826534091178
2	-7.53538753	-0.03838517	-3.729308595	3375	(15, 15, 15)	600.0	1.0	2.2647826534091178
2	-7.52792956	-0.03838517	-3.7255796099999996	4913	(17, 17, 17)	600.0	1.0	2.2647826534091178
2	-7.53848243	-0.03838517	-3.730856045	6859	(19, 19, 19)	600.0	1.0	2.2647826534091178
2	-7.52978121	-0.03838517	-3.726505435	9261	(21, 21, 21)	600.0	1.0	2.2647826534091178
2	-7.53629387	-0.03838517	-3.7297617649999997	12167	(23, 23, 23)	600.0	1.0	2.2647826534091178
2	-7.53282204	-0.03838517	-3.72802585	15625	(25, 25, 25)	600.0	1.0	2.2647826534091178
2	-7.53380112	-0.03838517	-3.7285153899999997	19683	(27, 27, 27)	600.0	1.0	2.2647826534091178
2	-7.53493636	-0.03838517	-3.7290830099999996	24389	(29, 29, 29)	600.0	1.0	2.2647826534091178
2	-7.53319908	-0.03838517	-3.72821437	29791	(31, 31, 31)	600.0	1.0	2.2647826534091178
2	-7.53562684	-0.03838517	-3.72942825	35937	(33, 33, 33)	600.0	1.0	2.2647826534091178
2	-7.53317334	-0.03838517	-3.7282015	42875	(35, 35, 35)	600.0	1.0	2.2647826534091178
2	-7.53499078	-0.03838517	-3.72911022	50653	(37, 37, 37)	600.0	1.0	2.2647826534091178
2	-7.53400889	-0.03838517	-3.728619275	59319	(39, 39, 39)	600.0	1.0	2.2647826534091178
2	-7.53427635	-0.03838517	-3.7287530049999997	68921	(41, 41, 41)	600.0	1.0	2.2647826534091178
