total atom count	total energy	atom energy	cohesive energy	total kpoints	kpoints mesh	energy cutoff (ENCUT)	Scaling	lattice constant
1	-2.95967733	-0.03838517	-2.9212921599999997	169	(13, 13, 1)	600.0	1.0	2.13
1	-2.96723884	-0.03838517	-2.9288536699999996	225	(15, 15, 1)	600.0	1.0	2.13
1	-2.97513639	-0.03838517	-2.9367512199999997	289	(17, 17, 1)	600.0	1.0	2.13
1	-2.97746136	-0.03838517	-2.9390761899999998	361	(19, 19, 1)	600.0	1.0	2.13
1	-2.97568119	-0.03838517	-2.93729602	441	(21, 21, 1)	600.0	1.0	2.13
1	-2.97490141	-0.03838517	-2.93651624	529	(23, 23, 1)	600.0	1.0	2.13
1	-2.97279049	-0.03838517	-2.9344053199999998	625	(25, 25, 1)	600.0	1.0	2.13
1	-2.9727084	-0.03838517	-2.93432323	729	(27, 27, 1)	600.0	1.0	2.13
1	-2.97080588	-0.03838517	-2.9324207099999997	841	(29, 29, 1)	600.0	1.0	2.13
1	-2.97058001	-0.03838517	-2.9321948399999997	961	(31, 31, 1)	600.0	1.0	2.13
1	-2.97159597	-0.03838517	-2.9332108	1089	(33, 33, 1)	600.0	1.0	2.13
1	-2.9712662	-0.03838517	-2.93288103	1225	(35, 35, 1)	600.0	1.0	2.13
1	-2.97224918	-0.03838517	-2.9338640099999997	1369	(37, 37, 1)	600.0	1.0	2.13
1	-2.97331686	-0.03838517	-2.93493169	1521	(39, 39, 1)	600.0	1.0	2.13
1	-2.97311757	-0.03838517	-2.9347323999999997	1681	(41, 41, 1)	600.0	1.0	2.13
1	-2.97341942	-0.03838517	-2.9350342499999997	1849	(43, 43, 1)	600.0	1.0	2.13
1	-2.97301081	-0.03838517	-2.9346256399999997	2025	(45, 45, 1)	600.0	1.0	2.13
1	-2.97294545	-0.03838517	-2.93456028	2209	(47, 47, 1)	600.0	1.0	2.13
