total atom count	total energy	atom energy	cohesive energy	total kpoints	kpoints mesh	energy cutoff (ENCUT)	Scaling	lattice constant
3	-9.74756151	-0.03838517	-3.2108020000000006	125	(5, 5, 5)	600.0	1.0	2.50624
3	-9.5184788	-0.03838517	-3.134441096666667	216	(6, 6, 6)	600.0	1.0	2.50624
3	-9.53464962	-0.03838517	-3.13983137	343	(7, 7, 7)	600.0	1.0	2.50624
3	-9.57772172	-0.03838517	-3.1541887366666668	512	(8, 8, 8)	600.0	1.0	2.50624
3	-9.60183996	-0.03838517	-3.1622281500000002	729	(9, 9, 9)	600.0	1.0	2.50624
3	-9.58838868	-0.03838517	-3.15774439	1000	(10, 10, 10)	600.0	1.0	2.50624
3	-9.60824114	-0.03838517	-3.1643618766666672	1728	(12, 12, 12)	600.0	1.0	2.50624
3	-9.59804725	-0.03838517	-3.1609639133333336	2197	(13, 13, 13)	600.0	1.0	2.50624
3	-9.59786105	-0.03838517	-3.160901846666667	2744	(14, 14, 14)	600.0	1.0	2.50624
3	-9.59966129	-0.03838517	-3.161501926666667	3375	(15, 15, 15)	600.0	1.0	2.50624
3	-9.60149675	-0.03838517	-3.1621137466666673	4096	(16, 16, 16)	600.0	1.0	2.50624
3	-9.59664717	-0.03838517	-3.1604972200000003	4913	(17, 17, 17)	600.0	1.0	2.50624
3	-9.60200914	-0.03838517	-3.1622845433333335	5832	(18, 18, 18)	600.0	1.0	2.50624
3	-9.60142659	-0.03838517	-3.1620903600000005	6859	(19, 19, 19)	600.0	1.0	2.50624
3	-9.60018968	-0.03838517	-3.1616780566666667	8000	(20, 20, 20)	600.0	1.0	2.50624
3	-9.60115487	-0.03838517	-3.161999786666667	9261	(21, 21, 21)	600.0	1.0	2.50624
3	-9.60180794	-0.03838517	-3.162217476666667	10648	(22, 22, 22)	600.0	1.0	2.50624
3	-9.5980883	-0.03838517	-3.160977596666667	12167	(23, 23, 23)	600.0	1.0	2.50624
3	-9.60090412	-0.03838517	-3.1619162033333335	13824	(24, 24, 24)	600.0	1.0	2.50624
3	-9.60067725	-0.03838517	-3.1618405800000002	15625	(25, 25, 25)	600.0	1.0	2.50624
3	-9.60154131	-0.03838517	-3.1621286000000004	17576	(26, 26, 26)	600.0	1.0	2.50624
3	-9.60031279	-0.03838517	-3.1617190933333337	19683	(27, 27, 27)	600.0	1.0	2.50624
3	-9.60142513	-0.03838517	-3.162089873333334	21952	(28, 28, 28)	600.0	1.0	2.50624
3	-9.60100157	-0.03838517	-3.161948686666667	24389	(29, 29, 29)	600.0	1.0	2.50624
3	-9.5999875	-0.03838517	-3.161610663333333	27000	(30, 30, 30)	600.0	1.0	2.50624
3	-9.6004958	-0.03838517	-3.1617800966666665	29791	(31, 31, 31)	600.0	1.0	2.50624
3	-9.60119744	-0.03838517	-3.162013976666667	32768	(32, 32, 32)	600.0	1.0	2.50624
3	-9.60011921	-0.03838517	-3.1616545666666673	35937	(33, 33, 33)	600.0	1.0	2.50624
3	-9.60119427	-0.03838517	-3.1620129200000004	39304	(34, 34, 34)	600.0	1.0	2.50624
3	-9.60129843	-0.03838517	-3.1620476400000004	42875	(35, 35, 35)	600.0	1.0	2.50624
3	-9.60077811	-0.03838517	-3.1618742	46656	(36, 36, 36)	600.0	1.0	2.50624
