total atom count	total energy	atom energy	cohesive energy	total kpoints	kpoints mesh	energy cutoff (ENCUT)	Scaling	lattice constant
1	-1.85074259	-0.03838517	-1.81235742	144	(12, 12, 1)	600.0	1.0	2.50624
1	-1.84511358	-0.03838517	-1.80672841	169	(13, 13, 1)	600.0	1.0	2.50624
1	-1.84734819	-0.03838517	-1.80896302	196	(14, 14, 1)	600.0	1.0	2.50624
1	-1.85534532	-0.03838517	-1.81696015	225	(15, 15, 1)	600.0	1.0	2.50624
1	-1.85449254	-0.03838517	-1.81610737	256	(16, 16, 1)	600.0	1.0	2.50624
1	-1.85012197	-0.03838517	-1.8117368	289	(17, 17, 1)	600.0	1.0	2.50624
1	-1.84795564	-0.03838517	-1.80957047	324	(18, 18, 1)	600.0	1.0	2.50624
1	-1.85235153	-0.03838517	-1.81396636	361	(19, 19, 1)	600.0	1.0	2.50624
1	-1.85420748	-0.03838517	-1.81582231	400	(20, 20, 1)	600.0	1.0	2.50624
1	-1.85285466	-0.03838517	-1.81446949	441	(21, 21, 1)	600.0	1.0	2.50624
1	-1.85105126	-0.03838517	-1.81266609	484	(22, 22, 1)	600.0	1.0	2.50624
1	-1.85070264	-0.03838517	-1.81231747	529	(23, 23, 1)	600.0	1.0	2.50624
1	-1.85255968	-0.03838517	-1.81417451	576	(24, 24, 1)	600.0	1.0	2.50624
1	-1.85320015	-0.03838517	-1.81481498	625	(25, 25, 1)	600.0	1.0	2.50624
1	-1.85228558	-0.03838517	-1.81390041	676	(26, 26, 1)	600.0	1.0	2.50624
1	-1.85145251	-0.03838517	-1.8130673400000001	729	(27, 27, 1)	600.0	1.0	2.50624
1	-1.85156717	-0.03838517	-1.813182	784	(28, 28, 1)	600.0	1.0	2.50624
1	-1.85291089	-0.03838517	-1.81452572	841	(29, 29, 1)	600.0	1.0	2.50624
1	-1.85254023	-0.03838517	-1.81415506	900	(30, 30, 1)	600.0	1.0	2.50624
1	-1.85193039	-0.03838517	-1.81354522	961	(31, 31, 1)	600.0	1.0	2.50624
1	-1.85191313	-0.03838517	-1.81352796	1024	(32, 32, 1)	600.0	1.0	2.50624
1	-1.85256594	-0.03838517	-1.81418077	1089	(33, 33, 1)	600.0	1.0	2.50624
1	-1.85272065	-0.03838517	-1.81433548	1156	(34, 34, 1)	600.0	1.0	2.50624
1	-1.85207958	-0.03838517	-1.81369441	1225	(35, 35, 1)	600.0	1.0	2.50624
1	-1.85200784	-0.03838517	-1.81362267	1296	(36, 36, 1)	600.0	1.0	2.50624
1	-1.8523838	-0.03838517	-1.81399863	1369	(37, 37, 1)	600.0	1.0	2.50624
1	-1.85270706	-0.03838517	-1.81432189	1444	(38, 38, 1)	600.0	1.0	2.50624
1	-1.85243208	-0.03838517	-1.81404691	1521	(39, 39, 1)	600.0	1.0	2.50624
1	-1.85213883	-0.03838517	-1.81375366	1600	(40, 40, 1)	600.0	1.0	2.50624
1	-1.8521676	-0.03838517	-1.81378243	1681	(41, 41, 1)	600.0	1.0	2.50624
1	-1.85248073	-0.03838517	-1.81409556	1764	(42, 42, 1)	600.0	1.0	2.50624
1	-1.85261454	-0.03838517	-1.81422937	1849	(43, 43, 1)	600.0	1.0	2.50624
1	-1.85237797	-0.03838517	-1.8139928	1936	(44, 44, 1)	600.0	1.0	2.50624
1	-1.85218049	-0.03838517	-1.81379532	2025	(45, 45, 1)	600.0	1.0	2.50624
1	-1.85227721	-0.03838517	-1.81389204	2116	(46, 46, 1)	600.0	1.0	2.50624
1	-1.85252458	-0.03838517	-1.8141394100000001	2209	(47, 47, 1)	600.0	1.0	2.50624
1	-1.85246349	-0.03838517	-1.8140783200000001	2304	(48, 48, 1)	600.0	1.0	2.50624
