total atom count	total energy	atom energy	cohesive energy	total kpoints	kpoints mesh	energy cutoff (ENCUT)	Scaling	lattice constant
3	-9.60824147	-0.03838517	-3.1643619866666666	144	(12, 12, 1)	600.0	1.0	2.50624
3	-9.59804738	-0.03838517	-3.160963956666667	169	(13, 13, 1)	600.0	1.0	2.50624
3	-9.59966116	-0.03838517	-3.1615018833333335	225	(15, 15, 1)	600.0	1.0	2.50624
3	-9.60149662	-0.03838517	-3.162113703333334	256	(16, 16, 1)	600.0	1.0	2.50624
3	-9.596647	-0.03838517	-3.160497163333334	289	(17, 17, 1)	600.0	1.0	2.50624
3	-9.6020092	-0.03838517	-3.1622845633333334	324	(18, 18, 1)	600.0	1.0	2.50624
3	-9.60142679	-0.03838517	-3.162090426666667	361	(19, 19, 1)	600.0	1.0	2.50624
3	-9.60018958	-0.03838517	-3.1616780233333337	400	(20, 20, 1)	600.0	1.0	2.50624
3	-9.60180769	-0.03838517	-3.1622173933333335	484	(22, 22, 1)	600.0	1.0	2.50624
3	-9.59808804	-0.03838517	-3.1609775100000004	529	(23, 23, 1)	600.0	1.0	2.50624
3	-9.6009042	-0.03838517	-3.1619162300000005	576	(24, 24, 1)	600.0	1.0	2.50624
3	-9.60067723	-0.03838517	-3.161840573333334	625	(25, 25, 1)	600.0	1.0	2.50624
3	-9.60154132	-0.03838517	-3.162128603333334	676	(26, 26, 1)	600.0	1.0	2.50624
3	-9.60031267	-0.03838517	-3.1617190533333335	729	(27, 27, 1)	600.0	1.0	2.50624
3	-9.60100156	-0.03838517	-3.1619486833333337	841	(29, 29, 1)	600.0	1.0	2.50624
3	-9.59998719	-0.03838517	-3.16161056	900	(30, 30, 1)	600.0	1.0	2.50624
3	-9.60049562	-0.03838517	-3.161780036666667	961	(31, 31, 1)	600.0	1.0	2.50624
3	-9.6011973	-0.03838517	-3.1620139300000005	1024	(32, 32, 1)	600.0	1.0	2.50624
3	-9.600119	-0.03838517	-3.161654496666667	1089	(33, 33, 1)	600.0	1.0	2.50624
3	-9.60119418	-0.03838517	-3.16201289	1156	(34, 34, 1)	600.0	1.0	2.50624
3	-9.60129816	-0.03838517	-3.1620475500000005	1225	(35, 35, 1)	600.0	1.0	2.50624
3	-9.6007781	-0.03838517	-3.1618741966666666	1296	(36, 36, 1)	600.0	1.0	2.50624
3	-9.60051141	-0.03838517	-3.1617853	1369	(37, 37, 1)	600.0	1.0	2.50624
3	-9.60068715	-0.03838517	-3.1618438800000006	1444	(38, 38, 1)	600.0	1.0	2.50624
3	-9.60092066	-0.03838517	-3.161921716666667	1521	(39, 39, 1)	600.0	1.0	2.50624
3	-9.60038235	-0.03838517	-3.1617422800000003	1600	(40, 40, 1)	600.0	1.0	2.50624
3	-9.60099133	-0.03838517	-3.1619452733333335	1681	(41, 41, 1)	600.0	1.0	2.50624
3	-9.60109283	-0.03838517	-3.161979106666667	1764	(42, 42, 1)	600.0	1.0	2.50624
3	-9.60063883	-0.03838517	-3.1618277733333335	1849	(43, 43, 1)	600.0	1.0	2.50624
3	-9.60077274	-0.03838517	-3.1618724100000004	1936	(44, 44, 1)	600.0	1.0	2.50624
3	-9.60095035	-0.03838517	-3.1619316133333335	2025	(45, 45, 1)	600.0	1.0	2.50624
3	-9.60050414	-0.03838517	-3.161782876666667	2116	(46, 46, 1)	600.0	1.0	2.50624
3	-9.60075787	-0.03838517	-3.161867453333334	2209	(47, 47, 1)	600.0	1.0	2.50624
3	-9.60082019	-0.03838517	-3.161888226666667	2304	(48, 48, 1)	600.0	1.0	2.50624
