total atom count	total energy	fermi energy	total kpoints	calculated kpoints	kpoints mesh	lattice constant	symmetry precision (SYMPREC)	energy cutoff (ENCUT)	k-point spacing (KSPACING)	volume	time step (POTIM)	mixing parameter (AMIX)	mixing parameter (BMIX)	electronic convergence (EDIFF)	force convergence (EDIFFG)	elapsed time (sec)	Scaling	a1	a2	a3
3	-9.596647	-2.23526414	289	45	(17, 17, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	19.618	1.0	2.50624	2.50624	40.0
3	-9.60824122	-2.25028605	144	28	(12, 12, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	22.119	1.0	2.50624	2.50624	40.0
3	-9.59804738	-2.21159767	169	28	(13, 13, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	25.46	1.0	2.50624	2.50624	40.0
3	-9.60018958	-2.23744427	400	66	(20, 20, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	30.025	1.0	2.50624	2.50624	40.0
3	-9.59966114	-2.19815332	225	36	(15, 15, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	30.942	1.0	2.50624	2.50624	40.0
3	-9.6014966	-2.21449321	256	45	(16, 16, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	33.863	1.0	2.50624	2.50624	40.0
3	-9.60142678	-2.20613973	361	55	(19, 19, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	45.519	1.0	2.50624	2.50624	40.0
3	-9.60200917	-2.28829958	324	55	(18, 18, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	45.728	1.0	2.50624	2.50624	40.0
3	-9.60154132	-2.21406968	676	105	(26, 26, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	48.307	1.0	2.50624	2.50624	40.0
3	-9.60100156	-2.22010722	841	120	(29, 29, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	55.41	1.0	2.50624	2.50624	40.0
3	-9.60180771	-2.24845444	484	78	(22, 22, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	65.194	1.0	2.50624	2.50624	40.0
3	-9.598088	-2.21325361	529	78	(23, 23, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	65.503	1.0	2.50624	2.50624	40.0
3	-9.60090418	-2.23747562	576	91	(24, 24, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	75.13	1.0	2.50624	2.50624	40.0
3	-9.60067722	-2.21982367	625	91	(25, 25, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	80.683	1.0	2.50624	2.50624	40.0
