total atom count	total energy	atom energy	cohesive energy	total kpoints	kpoints mesh	energy cutoff (ENCUT)	Scaling	lattice constant
3	-9.60824122	-0.03838517	-3.1643619033333334	144	(12, 12, 1)	600.0	1.0	2.50624
3	-9.59804738	-0.03838517	-3.160963956666667	169	(13, 13, 1)	600.0	1.0	2.50624
3	-9.59966114	-0.03838517	-3.161501876666667	225	(15, 15, 1)	600.0	1.0	2.50624
3	-9.6014966	-0.03838517	-3.162113696666667	256	(16, 16, 1)	600.0	1.0	2.50624
3	-9.59664717	-0.03838517	-3.1604972200000003	289	(17, 17, 1)	600.0	1.0	2.50624
3	-9.60200917	-0.03838517	-3.162284553333334	324	(18, 18, 1)	600.0	1.0	2.50624
3	-9.60142678	-0.03838517	-3.162090423333334	361	(19, 19, 1)	600.0	1.0	2.50624
3	-9.60018932	-0.03838517	-3.161677936666667	400	(20, 20, 1)	600.0	1.0	2.50624
3	-9.60180771	-0.03838517	-3.1622174	484	(22, 22, 1)	600.0	1.0	2.50624
3	-9.598088	-0.03838517	-3.1609774966666673	529	(23, 23, 1)	600.0	1.0	2.50624
3	-9.60090418	-0.03838517	-3.1619162233333338	576	(24, 24, 1)	600.0	1.0	2.50624
3	-9.60067722	-0.03838517	-3.1618405700000003	625	(25, 25, 1)	600.0	1.0	2.50624
3	-9.60154103	-0.03838517	-3.162128506666667	676	(26, 26, 1)	600.0	1.0	2.50624
3	-9.60031266	-0.03838517	-3.1617190500000003	729	(27, 27, 1)	600.0	1.0	2.50624
3	-9.60100131	-0.03838517	-3.1619486	841	(29, 29, 1)	600.0	1.0	2.50624
3	-9.5999872	-0.03838517	-3.1616105633333333	900	(30, 30, 1)	600.0	1.0	2.50624
3	-9.60049559	-0.03838517	-3.161780026666667	961	(31, 31, 1)	600.0	1.0	2.50624
3	-9.60119728	-0.03838517	-3.1620139233333333	1024	(32, 32, 1)	600.0	1.0	2.50624
