total atom count	total energy	fermi energy	total kpoints	calculated kpoints	kpoints mesh	lattice constant	symmetry precision (SYMPREC)	energy cutoff (ENCUT)	k-point spacing (KSPACING)	volume	time step (POTIM)	mixing parameter (AMIX)	mixing parameter (BMIX)	electronic convergence (EDIFF)	force convergence (EDIFFG)	elapsed time (sec)	Scaling	a1	a2	a3
3	-9.596647	-2.23526579	289	45	(17, 17, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	20.298	1.0	2.50624	2.50624	40.0
3	-9.60824147	-2.25098591	144	28	(12, 12, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	25.508	1.0	2.50624	2.50624	40.0
3	-9.59804738	-2.21166041	169	28	(13, 13, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	27.892	1.0	2.50624	2.50624	40.0
3	-9.60018958	-2.2374442	400	66	(20, 20, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	30.169	1.0	2.50624	2.50624	40.0
3	-9.59966116	-2.19839962	225	36	(15, 15, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	34.765	1.0	2.50624	2.50624	40.0
3	-9.60149662	-2.21471788	256	45	(16, 16, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	40.969	1.0	2.50624	2.50624	40.0
3	-9.6020092	-2.28848515	324	55	(18, 18, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	45.224	1.0	2.50624	2.50624	40.0
3	-9.60142679	-2.20634535	361	55	(19, 19, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	48.154	1.0	2.50624	2.50624	40.0
3	-9.60154132	-2.21407028	676	105	(26, 26, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	51.629	1.0	2.50624	2.50624	40.0
3	-9.60100156	-2.22010591	841	120	(29, 29, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	57.888	1.0	2.50624	2.50624	40.0
3	-9.60180769	-2.24854771	484	78	(22, 22, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	64.021	1.0	2.50624	2.50624	40.0
3	-9.59808804	-2.21348271	529	78	(23, 23, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	65.256	1.0	2.50624	2.50624	40.0
3	-9.6009042	-2.2376857	576	91	(24, 24, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	75.805	1.0	2.50624	2.50624	40.0
3	-9.60067723	-2.21988699	625	91	(25, 25, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	79.189	1.0	2.50624	2.50624	40.0
3	-9.6007781	-2.21736433	1296	190	(36, 36, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	84.82	1.0	2.50624	2.50624	40.0
3	-9.60031267	-2.23373246	729	105	(27, 27, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	89.937	1.0	2.50624	2.50624	40.0
3	-9.6011973	-2.22176489	1024	153	(32, 32, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	99.175	1.0	2.50624	2.50624	40.0
3	-9.59998719	-2.23090634	900	136	(30, 30, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	104.488	1.0	2.50624	2.50624	40.0
3	-9.60049562	-2.24246497	961	136	(31, 31, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	105.34	1.0	2.50624	2.50624	40.0
3	-9.60063883	-2.22501642	1849	253	(43, 43, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	109.714	1.0	2.50624	2.50624	40.0
3	-9.60077274	-2.23451193	1936	276	(44, 44, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	114.066	1.0	2.50624	2.50624	40.0
3	-9.60109283	-2.22356925	1764	253	(42, 42, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	116.375	1.0	2.50624	2.50624	40.0
3	-9.60095035	-2.23244622	2025	276	(45, 45, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	122.304	1.0	2.50624	2.50624	40.0
3	-9.60050414	-2.22182777	2116	300	(46, 46, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	130.691	1.0	2.50624	2.50624	40.0
3	-9.60075787	-2.23284493	2209	300	(47, 47, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	135.649	1.0	2.50624	2.50624	40.0
3	-9.60082019	-2.22935803	2304	325	(48, 48, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	136.896	1.0	2.50624	2.50624	40.0
3	-9.600119	-2.2221961	1089	153	(33, 33, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	156.871	1.0	2.50624	2.50624	40.0
3	-9.60129816	-2.23365124	1225	171	(35, 35, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	167.19	1.0	2.50624	2.50624	40.0
3	-9.60092066	-2.22179995	1521	210	(39, 39, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	169.134	1.0	2.50624	2.50624	40.0
3	-9.60119418	-2.23013924	1156	171	(34, 34, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	172.827	1.0	2.50624	2.50624	40.0
3	-9.60068715	-2.2306901	1444	210	(38, 38, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	189.714	1.0	2.50624	2.50624	40.0
3	-9.60051141	-2.23888462	1369	190	(37, 37, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	190.591	1.0	2.50624	2.50624	40.0
3	-9.60099133	-2.23708469	1681	231	(41, 41, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	192.123	1.0	2.50624	2.50624	40.0
