total atom count	total energy	atom energy	cohesive energy	total kpoints	kpoints mesh	energy cutoff (ENCUT)	Scaling	lattice constant
2	-7.3160576	-0.03838517	-3.6196436299999997	1331	(11, 11, 11)	600.0	1.0	2.50624
2	-7.33503993	-0.03838517	-3.6291347949999997	2197	(13, 13, 13)	600.0	1.0	2.50624
2	-7.33702567	-0.03838517	-3.630127665	3375	(15, 15, 15)	600.0	1.0	2.50624
2	-7.32614652	-0.03838517	-3.62468809	4913	(17, 17, 17)	600.0	1.0	2.50624
2	-7.33472994	-0.03838517	-3.6289797999999998	6859	(19, 19, 19)	600.0	1.0	2.50624
2	-7.33456177	-0.03838517	-3.6288957149999996	9261	(21, 21, 21)	600.0	1.0	2.50624
2	-7.33014527	-0.03838517	-3.626687465	12167	(23, 23, 23)	600.0	1.0	2.50624
2	-7.3348707	-0.03838517	-3.6290501799999997	15625	(25, 25, 25)	600.0	1.0	2.50624
2	-7.33344371	-0.03838517	-3.628336685	19683	(27, 27, 27)	600.0	1.0	2.50624
2	-7.33212405	-0.03838517	-3.627676855	24389	(29, 29, 29)	600.0	1.0	2.50624
2	-7.33469352	-0.03838517	-3.62896159	29791	(31, 31, 31)	600.0	1.0	2.50624
2	-7.33308055	-0.03838517	-3.628155105	35937	(33, 33, 33)	600.0	1.0	2.50624
2	-7.33299142	-0.03838517	-3.6281105399999998	42875	(35, 35, 35)	600.0	1.0	2.50624
2	-7.33434094	-0.03838517	-3.6287852999999997	50653	(37, 37, 37)	600.0	1.0	2.50624
2	-7.33288622	-0.03838517	-3.6280579399999997	59319	(39, 39, 39)	600.0	1.0	2.50624
2	-7.3334226	-0.03838517	-3.6283261299999996	68921	(41, 41, 41)	600.0	1.0	2.50624
