total atom count	total energy	fermi energy	total kpoints	calculated kpoints	kpoints mesh	lattice constant	symmetry precision (SYMPREC)	energy cutoff (ENCUT)	k-point spacing (KSPACING)	volume	time step (POTIM)	mixing parameter (AMIX)	mixing parameter (BMIX)	electronic convergence (EDIFF)	force convergence (EDIFFG)	elapsed time (sec)	Scaling	a1	a2	a3
3	-9.74756151	-3.0663998	125	18	(5, 5, 5)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	9.325	1.0	2.50624	2.50624	40.0
3	-9.5184788	-2.8892346	216	18	(6, 6, 6)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	13.36	1.0	2.50624	2.50624	40.0
3	-9.53464962	-2.29270828	343	40	(7, 7, 7)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	25.506	1.0	2.50624	2.50624	40.0
3	-9.58838868	-2.21844738	1000	126	(10, 10, 10)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	55.701	1.0	2.50624	2.50624	40.0
3	-9.57772172	-2.5633468	512	75	(8, 8, 8)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	59.293	1.0	2.50624	2.50624	40.0
3	-9.60183996	-2.20768423	729	75	(9, 9, 9)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	64.289	1.0	2.50624	2.50624	40.0
3	-9.59786105	-2.28265983	2744	288	(14, 14, 14)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	133.208	1.0	2.50624	2.50624	40.0
3	-9.59966129	-2.19854564	3375	288	(15, 15, 15)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	135.63	1.0	2.50624	2.50624	40.0
3	-9.60824114	-2.2502436	1728	196	(12, 12, 12)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	148.354	1.0	2.50624	2.50624	40.0
3	-9.59804725	-2.21160048	2197	196	(13, 13, 13)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	170.998	1.0	2.50624	2.50624	40.0
3	-9.60149675	-2.21489689	4096	405	(16, 16, 16)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	175.668	1.0	2.50624	2.50624	40.0
3	-9.59664717	-2.2350144	4913	405	(17, 17, 17)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	184.231	1.0	2.50624	2.50624	40.0
3	-9.60115487	-2.27273304	9261	726	(21, 21, 21)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	314.945	1.0	2.50624	2.50624	40.0
3	-9.60018968	-2.23744946	8000	726	(20, 20, 20)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	318.002	1.0	2.50624	2.50624	40.0
3	-9.5980883	-2.21349988	12167	936	(23, 23, 23)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	426.245	1.0	2.50624	2.50624	40.0
3	-9.60180794	-2.24846664	10648	936	(22, 22, 22)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	429.412	1.0	2.50624	2.50624	40.0
3	-9.60200914	-2.28829619	5832	550	(18, 18, 18)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	444.255	1.0	2.50624	2.50624	40.0
3	-9.60142659	-2.20613725	6859	550	(19, 19, 19)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	449.279	1.0	2.50624	2.50624	40.0
3	-9.60067725	-2.21999132	15625	1183	(25, 25, 25)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	543.749	1.0	2.50624	2.50624	40.0
3	-9.60031279	-2.23369261	19683	1470	(27, 27, 27)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	636.126	1.0	2.50624	2.50624	40.0
3	-9.60154131	-2.21407146	17576	1470	(26, 26, 26)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	675.64	1.0	2.50624	2.50624	40.0
3	-9.60100157	-2.22010939	24389	1800	(29, 29, 29)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	845.028	1.0	2.50624	2.50624	40.0
3	-9.60142513	-2.24639017	21952	1800	(28, 28, 28)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	848.479	1.0	2.50624	2.50624	40.0
3	-9.60011921	-2.22195013	35937	2601	(33, 33, 33)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	955.233	1.0	2.50624	2.50624	40.0
3	-9.6004958	-2.24243734	29791	2176	(31, 31, 31)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	1019.196	1.0	2.50624	2.50624	40.0
3	-9.60090412	-2.23747789	13824	1183	(24, 24, 24)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	1022.536	1.0	2.50624	2.50624	40.0
3	-9.5999875	-2.23074552	27000	2176	(30, 30, 30)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	1087.931	1.0	2.50624	2.50624	40.0
