total atom count	total energy	atom energy	cohesive energy	total kpoints	kpoints mesh	energy cutoff (ENCUT)	Scaling	lattice constant
1	-1.84379791	-0.03838517	-1.80541274	169	(13, 13, 1)	600.0	1.0	2.50624
1	-1.85509668	-0.03838517	-1.81671151	225	(15, 15, 1)	600.0	1.0	2.50624
1	-1.84956693	-0.03838517	-1.81118176	289	(17, 17, 1)	600.0	1.0	2.50624
1	-1.85193613	-0.03838517	-1.81355096	361	(19, 19, 1)	600.0	1.0	2.50624
1	-1.85245788	-0.03838517	-1.81407271	441	(21, 21, 1)	600.0	1.0	2.50624
1	-1.85012872	-0.03838517	-1.81174355	529	(23, 23, 1)	600.0	1.0	2.50624
1	-1.85298932	-0.03838517	-1.81460415	625	(25, 25, 1)	600.0	1.0	2.50624
1	-1.85105221	-0.03838517	-1.81266704	729	(27, 27, 1)	600.0	1.0	2.50624
1	-1.85263859	-0.03838517	-1.81425342	841	(29, 29, 1)	600.0	1.0	2.50624
1	-1.85158676	-0.03838517	-1.81320159	961	(31, 31, 1)	600.0	1.0	2.50624
1	-1.85229782	-0.03838517	-1.81391265	1089	(33, 33, 1)	600.0	1.0	2.50624
1	-1.85168978	-0.03838517	-1.81330461	1225	(35, 35, 1)	600.0	1.0	2.50624
1	-1.85212361	-0.03838517	-1.81373844	1369	(37, 37, 1)	600.0	1.0	2.50624
1	-1.85254558	-0.03838517	-1.81416041	1444	(38, 38, 1)	600.0	1.0	2.50624
1	-1.85182262	-0.03838517	-1.8134374500000001	1681	(41, 41, 1)	600.0	1.0	2.50624
1	-1.85243526	-0.03838517	-1.81405009	1849	(43, 43, 1)	600.0	1.0	2.50624
1	-1.85182813	-0.03838517	-1.81344296	2025	(45, 45, 1)	600.0	1.0	2.50624
1	-1.85232169	-0.03838517	-1.81393652	2209	(47, 47, 1)	600.0	1.0	2.50624
