total atom count	total energy	fermi energy	total kpoints	calculated kpoints	kpoints mesh	lattice constant	symmetry precision (SYMPREC)	energy cutoff (ENCUT)	k-point spacing (KSPACING)	volume	time step (POTIM)	mixing parameter (AMIX)	mixing parameter (BMIX)	electronic convergence (EDIFF)	force convergence (EDIFFG)	elapsed time (sec)	Scaling	a1	a2	a3
1	-1.84511358	-3.83232634	169	28	(13, 13, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	27.068	1.0	2.50624	2.50624	40.0
1	-1.85534532	-3.72600862	225	36	(15, 15, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	34.528	1.0	2.50624	2.50624	40.0
1	-1.85012197	-3.74867188	289	45	(17, 17, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	43.207	1.0	2.50624	2.50624	40.0
1	-1.85235153	-3.76823892	361	55	(19, 19, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	52.036	1.0	2.50624	2.50624	40.0
1	-1.85285466	-3.78654327	441	66	(21, 21, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	63.844	1.0	2.50624	2.50624	40.0
1	-1.85070264	-3.78653217	529	78	(23, 23, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	71.422	1.0	2.50624	2.50624	40.0
1	-1.85320015	-3.80268482	625	91	(25, 25, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	80.235	1.0	2.50624	2.50624	40.0
1	-1.85145251	-3.74796408	729	105	(27, 27, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	99.414	1.0	2.50624	2.50624	40.0
1	-1.85256594	-3.77802117	1089	153	(33, 33, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	107.272	1.0	2.50624	2.50624	40.0
1	-1.85291089	-3.79536078	841	120	(29, 29, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	110.558	1.0	2.50624	2.50624	40.0
1	-1.85207958	-3.78544935	1225	171	(35, 35, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	114.456	1.0	2.50624	2.50624	40.0
1	-1.8523838	-3.78667753	1369	190	(37, 37, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	128.931	1.0	2.50624	2.50624	40.0
1	-1.85193039	-3.79315289	961	136	(31, 31, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	131.696	1.0	2.50624	2.50624	40.0
1	-1.85270706	-3.77486885	1444	210	(38, 38, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	139.892	1.0	2.50624	2.50624	40.0
1	-1.8521676	-3.7934671	1681	231	(41, 41, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	163.298	1.0	2.50624	2.50624	40.0
1	-1.85218049	-3.78242183	2025	276	(45, 45, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	184.707	1.0	2.50624	2.50624	40.0
1	-1.85261454	-3.78329599	1849	253	(43, 43, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	188.406	1.0	2.50624	2.50624	40.0
1	-1.85252458	-3.78771047	2209	300	(47, 47, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	199.271	1.0	2.50624	2.50624	40.0
