total atom count	total energy	atom energy	cohesive energy	total kpoints	kpoints mesh	energy cutoff (ENCUT)	Scaling	lattice constant
2	-5.90807215	-0.03838517	-2.9156509049999997	169	(13, 13, 1)	600.0	1.0	2.50624
2	-5.90665154	-0.03838517	-2.9149406	225	(15, 15, 1)	600.0	1.0	2.50624
2	-5.90647672	-0.03838517	-2.9148531899999996	289	(17, 17, 1)	600.0	1.0	2.50624
2	-5.90856312	-0.03838517	-2.91589639	361	(19, 19, 1)	600.0	1.0	2.50624
2	-5.90737872	-0.03838517	-2.9153041899999996	441	(21, 21, 1)	600.0	1.0	2.50624
2	-5.90617353	-0.03838517	-2.914701595	529	(23, 23, 1)	600.0	1.0	2.50624
2	-5.9082354	-0.03838517	-2.9157325299999997	625	(25, 25, 1)	600.0	1.0	2.50624
2	-5.90708949	-0.03838517	-2.9151595749999997	729	(27, 27, 1)	600.0	1.0	2.50624
2	-5.90680757	-0.03838517	-2.9150186149999997	841	(29, 29, 1)	600.0	1.0	2.50624
2	-5.90755794	-0.03838517	-2.9153938	961	(31, 31, 1)	600.0	1.0	2.50624
2	-5.90726613	-0.03838517	-2.915247895	1089	(33, 33, 1)	600.0	1.0	2.50624
2	-5.90727291	-0.03838517	-2.9152512849999996	1225	(35, 35, 1)	600.0	1.0	2.50624
2	-5.90724627	-0.03838517	-2.9152379649999998	1369	(37, 37, 1)	600.0	1.0	2.50624
2	-5.90742157	-0.03838517	-2.915325615	1521	(39, 39, 1)	600.0	1.0	2.50624
2	-5.90733701	-0.03838517	-2.915283335	1681	(41, 41, 1)	600.0	1.0	2.50624
2	-5.90733256	-0.03838517	-2.91528111	1849	(43, 43, 1)	600.0	1.0	2.50624
2	-5.90751307	-0.03838517	-2.915371365	2025	(45, 45, 1)	600.0	1.0	2.50624
2	-5.90725525	-0.03838517	-2.915242455	2209	(47, 47, 1)	600.0	1.0	2.50624
