total atom count	total energy	atom energy	cohesive energy	total kpoints	kpoints mesh	energy cutoff (ENCUT)	Scaling	lattice constant
2	-5.90371299	-0.03838517	-2.9134713249999997	144	(12, 12, 1)	600.0	1.0	2.50624
2	-5.90807215	-0.03838517	-2.9156509049999997	169	(13, 13, 1)	600.0	1.0	2.50624
2	-5.90665154	-0.03838517	-2.9149406	225	(15, 15, 1)	600.0	1.0	2.50624
2	-5.90786263	-0.03838517	-2.915546145	256	(16, 16, 1)	600.0	1.0	2.50624
2	-5.90647672	-0.03838517	-2.9148531899999996	289	(17, 17, 1)	600.0	1.0	2.50624
2	-5.90734078	-0.03838517	-2.91528522	324	(18, 18, 1)	600.0	1.0	2.50624
2	-5.90856312	-0.03838517	-2.91589639	361	(19, 19, 1)	600.0	1.0	2.50624
2	-5.9085277	-0.03838517	-2.9158786799999996	484	(22, 22, 1)	600.0	1.0	2.50624
2	-5.90617353	-0.03838517	-2.914701595	529	(23, 23, 1)	600.0	1.0	2.50624
2	-5.90721484	-0.03838517	-2.91522225	576	(24, 24, 1)	600.0	1.0	2.50624
2	-5.9082354	-0.03838517	-2.9157325299999997	625	(25, 25, 1)	600.0	1.0	2.50624
2	-5.90641453	-0.03838517	-2.914822095	676	(26, 26, 1)	600.0	1.0	2.50624
2	-5.90708949	-0.03838517	-2.9151595749999997	729	(27, 27, 1)	600.0	1.0	2.50624
2	-5.90680757	-0.03838517	-2.9150186149999997	841	(29, 29, 1)	600.0	1.0	2.50624
2	-5.90713726	-0.03838517	-2.9151834599999997	900	(30, 30, 1)	600.0	1.0	2.50624
2	-5.90755794	-0.03838517	-2.9153938	961	(31, 31, 1)	600.0	1.0	2.50624
2	-5.90710701	-0.03838517	-2.9151683349999997	1024	(32, 32, 1)	600.0	1.0	2.50624
2	-5.90726613	-0.03838517	-2.915247895	1089	(33, 33, 1)	600.0	1.0	2.50624
2	-5.90732064	-0.03838517	-2.91527515	1156	(34, 34, 1)	600.0	1.0	2.50624
2	-5.90727291	-0.03838517	-2.9152512849999996	1225	(35, 35, 1)	600.0	1.0	2.50624
2	-5.90737015	-0.03838517	-2.915299905	1296	(36, 36, 1)	600.0	1.0	2.50624
2	-5.90724627	-0.03838517	-2.9152379649999998	1369	(37, 37, 1)	600.0	1.0	2.50624
2	-5.90733935	-0.03838517	-2.915284505	1444	(38, 38, 1)	600.0	1.0	2.50624
2	-5.90742157	-0.03838517	-2.915325615	1521	(39, 39, 1)	600.0	1.0	2.50624
2	-5.90728035	-0.03838517	-2.9152550049999997	1600	(40, 40, 1)	600.0	1.0	2.50624
2	-5.90733701	-0.03838517	-2.915283335	1681	(41, 41, 1)	600.0	1.0	2.50624
2	-5.90747337	-0.03838517	-2.915351515	1764	(42, 42, 1)	600.0	1.0	2.50624
2	-5.90733256	-0.03838517	-2.91528111	1849	(43, 43, 1)	600.0	1.0	2.50624
2	-5.90729453	-0.03838517	-2.9152620949999997	1936	(44, 44, 1)	600.0	1.0	2.50624
2	-5.90751307	-0.03838517	-2.915371365	2025	(45, 45, 1)	600.0	1.0	2.50624
2	-5.90735001	-0.03838517	-2.915289835	2116	(46, 46, 1)	600.0	1.0	2.50624
2	-5.90725525	-0.03838517	-2.915242455	2209	(47, 47, 1)	600.0	1.0	2.50624
2	-5.90750316	-0.03838517	-2.91536641	2304	(48, 48, 1)	600.0	1.0	2.50624
