total atom count	total energy	fermi energy	total kpoints	calculated kpoints	kpoints mesh	lattice constant	symmetry precision (SYMPREC)	energy cutoff (ENCUT)	k-point spacing (KSPACING)	volume	time step (POTIM)	mixing parameter (AMIX)	mixing parameter (BMIX)	electronic convergence (EDIFF)	force convergence (EDIFFG)	elapsed time (sec)	Scaling	a1	a2	a3
2	-5.90642926	-2.79076686	289	45	(17, 17, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	21.814	1.0	2.50624	2.50624	40.0
2	-5.90774323	-2.74208868	169	28	(13, 13, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	24.597	1.0	2.50624	2.50624	40.0
2	-5.90617036	-2.75388165	225	36	(15, 15, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	29.266	1.0	2.50624	2.50624	40.0
2	-5.90835039	-2.75392567	361	55	(19, 19, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	42.004	1.0	2.50624	2.50624	40.0
2	-5.90650666	-2.74977339	841	120	(29, 29, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	61.12	1.0	2.50624	2.50624	40.0
2	-5.90589187	-2.75391946	529	78	(23, 23, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	61.318	1.0	2.50624	2.50624	40.0
2	-5.90806917	-2.75282152	625	91	(25, 25, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	69.935	1.0	2.50624	2.50624	40.0
2	-5.90682742	-2.75651352	729	105	(27, 27, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	88.746	1.0	2.50624	2.50624	40.0
2	-5.90714616	-2.7599757	441	66	(21, 21, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	89.889	1.0	2.50624	2.50624	40.0
2	-5.90720586	-2.75488799	1521	210	(39, 39, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	98.683	1.0	2.50624	2.50624	40.0
2	-5.90741279	-2.75322435	961	136	(31, 31, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	108.063	1.0	2.50624	2.50624	40.0
2	-5.9071245	-2.75130733	1849	253	(43, 43, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	116.228	1.0	2.50624	2.50624	40.0
2	-5.90733531	-2.7531351	2025	276	(45, 45, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	118.697	1.0	2.50624	2.50624	40.0
2	-5.90701293	-2.75357885	2209	300	(47, 47, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	126.933	1.0	2.50624	2.50624	40.0
2	-5.90699164	-2.75516291	1089	153	(33, 33, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	127.248	1.0	2.50624	2.50624	40.0
2	-5.90701077	-2.75266918	1225	171	(35, 35, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	133.443	1.0	2.50624	2.50624	40.0
2	-5.90699318	-2.75123038	1369	190	(37, 37, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	148.965	1.0	2.50624	2.50624	40.0
2	-5.9071231	-2.75395216	1681	231	(41, 41, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	178.212	1.0	2.50624	2.50624	40.0
