total atom count	total energy	fermi energy	total kpoints	calculated kpoints	kpoints mesh	lattice constant	symmetry precision (SYMPREC)	energy cutoff (ENCUT)	k-point spacing (KSPACING)	volume	time step (POTIM)	mixing parameter (AMIX)	mixing parameter (BMIX)	electronic convergence (EDIFF)	force convergence (EDIFFG)	elapsed time (sec)	Scaling	a1	a2	a3
2	-5.90371299	-2.72068506	144	28	(12, 12, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	21.031	1.0	2.50624	2.50624	40.0
2	-5.90647672	-2.79076686	289	45	(17, 17, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	21.814	1.0	2.50624	2.50624	40.0
2	-5.90807215	-2.74208868	169	28	(13, 13, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	24.597	1.0	2.50624	2.50624	40.0
2	-5.90665154	-2.75388165	225	36	(15, 15, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	29.266	1.0	2.50624	2.50624	40.0
2	-5.90786263	-2.75316788	256	45	(16, 16, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	37.311	1.0	2.50624	2.50624	40.0
2	-5.90856312	-2.75392567	361	55	(19, 19, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	42.004	1.0	2.50624	2.50624	40.0
2	-5.90734078	-2.76005729	324	55	(18, 18, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	42.878	1.0	2.50624	2.50624	40.0
2	-5.9085277	-2.75319596	484	78	(22, 22, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	60.875	1.0	2.50624	2.50624	40.0
2	-5.90680757	-2.74977339	841	120	(29, 29, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	61.12	1.0	2.50624	2.50624	40.0
2	-5.90617353	-2.75391946	529	78	(23, 23, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	61.318	1.0	2.50624	2.50624	40.0
2	-5.9082354	-2.75282152	625	91	(25, 25, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	69.935	1.0	2.50624	2.50624	40.0
2	-5.90721484	-2.75818355	576	91	(24, 24, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	74.387	1.0	2.50624	2.50624	40.0
2	-5.90641453	-2.75073423	676	105	(26, 26, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	86.197	1.0	2.50624	2.50624	40.0
2	-5.90737015	-2.75555177	1296	190	(36, 36, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	88.25	1.0	2.50624	2.50624	40.0
2	-5.90708949	-2.75651352	729	105	(27, 27, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	88.746	1.0	2.50624	2.50624	40.0
2	-5.90742157	-2.75488799	1521	210	(39, 39, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	98.683	1.0	2.50624	2.50624	40.0
