total atom count	total energy	atom energy	cohesive energy	total kpoints	kpoints mesh	energy cutoff (ENCUT)	Scaling	lattice constant
3	-9.59705617	-0.03838517	-3.1606335533333336	169	(13, 13, 1)	600.0	1.0	2.50624
3	-9.59958026	-0.03838517	-3.1614749166666667	225	(15, 15, 1)	600.0	1.0	2.50624
3	-9.59589976	-0.03838517	-3.1602480833333337	289	(17, 17, 1)	600.0	1.0	2.50624
3	-9.60046944	-0.03838517	-3.1617713100000002	361	(19, 19, 1)	600.0	1.0	2.50624
3	-9.59712267	-0.03838517	-3.16065572	529	(23, 23, 1)	600.0	1.0	2.50624
3	-9.59997347	-0.03838517	-3.161605986666667	625	(25, 25, 1)	600.0	1.0	2.50624
3	-9.59974082	-0.03838517	-3.1615284366666665	729	(27, 27, 1)	600.0	1.0	2.50624
3	-9.60050141	-0.03838517	-3.1617819666666667	841	(29, 29, 1)	600.0	1.0	2.50624
3	-9.60004484	-0.03838517	-3.161629776666667	961	(31, 31, 1)	600.0	1.0	2.50624
3	-9.59940901	-0.03838517	-3.1614178333333336	1089	(33, 33, 1)	600.0	1.0	2.50624
3	-9.60095862	-0.03838517	-3.1619343700000004	1225	(35, 35, 1)	600.0	1.0	2.50624
3	-9.60003364	-0.03838517	-3.1616260433333334	1369	(37, 37, 1)	600.0	1.0	2.50624
3	-9.60043009	-0.03838517	-3.1617581933333336	1521	(39, 39, 1)	600.0	1.0	2.50624
3	-9.60061188	-0.03838517	-3.1618187900000003	1681	(41, 41, 1)	600.0	1.0	2.50624
3	-9.60010423	-0.03838517	-3.1616495733333334	1849	(43, 43, 1)	600.0	1.0	2.50624
3	-9.60056674	-0.03838517	-3.1618037433333335	2025	(45, 45, 1)	600.0	1.0	2.50624
3	-9.60028875	-0.03838517	-3.1617110800000003	2209	(47, 47, 1)	600.0	1.0	2.50624
