total atom count	total energy	fermi energy	total kpoints	calculated kpoints	kpoints mesh	lattice constant	symmetry precision (SYMPREC)	energy cutoff (ENCUT)	k-point spacing (KSPACING)	volume	time step (POTIM)	mixing parameter (AMIX)	mixing parameter (BMIX)	electronic convergence (EDIFF)	force convergence (EDIFFG)	elapsed time (sec)	Scaling	a1	a2	a3
3	-9.59589976	-2.23526414	289	45	(17, 17, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	19.618	1.0	2.50624	2.50624	40.0
3	-9.59705617	-2.21159767	169	28	(13, 13, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	25.46	1.0	2.50624	2.50624	40.0
3	-9.59958026	-2.19815332	225	36	(15, 15, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	30.942	1.0	2.50624	2.50624	40.0
3	-9.60046944	-2.20613973	361	55	(19, 19, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	45.519	1.0	2.50624	2.50624	40.0
3	-9.60050141	-2.22010722	841	120	(29, 29, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	55.41	1.0	2.50624	2.50624	40.0
3	-9.59712267	-2.21325361	529	78	(23, 23, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	65.503	1.0	2.50624	2.50624	40.0
3	-9.60061188	-2.2371456	1681	231	(41, 41, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	76.986	1.0	2.50624	2.50624	40.0
3	-9.59997347	-2.21982367	625	91	(25, 25, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	80.683	1.0	2.50624	2.50624	40.0
3	-9.59974082	-2.23355149	729	105	(27, 27, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	86.881	1.0	2.50624	2.50624	40.0
3	-9.60010423	-2.22501474	1849	253	(43, 43, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	113.602	1.0	2.50624	2.50624	40.0
3	-9.60004484	-2.24227126	961	136	(31, 31, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	114.875	1.0	2.50624	2.50624	40.0
3	-9.60056674	-2.23244652	2025	276	(45, 45, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	120.585	1.0	2.50624	2.50624	40.0
3	-9.59940901	-2.22202467	1089	153	(33, 33, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	128.648	1.0	2.50624	2.50624	40.0
3	-9.60028875	-2.23284414	2209	300	(47, 47, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	131.321	1.0	2.50624	2.50624	40.0
3	-9.60095862	-2.23341465	1225	171	(35, 35, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	141.781	1.0	2.50624	2.50624	40.0
3	-9.60003364	-2.23870496	1369	190	(37, 37, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	160.753	1.0	2.50624	2.50624	40.0
3	-9.60043009	-2.22156043	1521	210	(39, 39, 1)	2.50624	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	176.983	1.0	2.50624	2.50624	40.0
