total atom count	total energy	atom energy	cohesive energy	total kpoints	kpoints mesh	energy cutoff (ENCUT)	Scaling	lattice constant
2	-3.1399847	-0.03838517	-1.53160718	144	(12, 12, 1)	300.0	1.0	3.9837168580563134
2	-3.14001489	-0.03838517	-1.531622275	144	(12, 12, 1)	350.0	1.0	3.9837168580563134
2	-3.14025426	-0.03838517	-1.53174196	144	(12, 12, 1)	400.0	1.0	3.9837168580563134
2	-3.14055196	-0.03838517	-1.53189081	144	(12, 12, 1)	450.0	1.0	3.9837168580563134
2	-3.14067075	-0.03838517	-1.531950205	144	(12, 12, 1)	500.0	1.0	3.9837168580563134
2	-3.14071368	-0.03838517	-1.5319716700000001	144	(12, 12, 1)	550.0	1.0	3.9837168580563134
2	-3.14072004	-0.03838517	-1.53197485	144	(12, 12, 1)	600.0	1.0	3.9837168580563134
2	-3.14072772	-0.03838517	-1.53197869	144	(12, 12, 1)	650.0	1.0	3.9837168580563134
2	-3.14075314	-0.03838517	-1.5319914000000001	144	(12, 12, 1)	700.0	1.0	3.9837168580563134
2	-3.14078849	-0.03838517	-1.532009075	144	(12, 12, 1)	750.0	1.0	3.9837168580563134
2	-3.14082137	-0.03838517	-1.532025515	144	(12, 12, 1)	800.0	1.0	3.9837168580563134
2	-3.14084825	-0.03838517	-1.532038955	144	(12, 12, 1)	850.0	1.0	3.9837168580563134
