total atom count	total energy	fermi energy	total kpoints	calculated kpoints	kpoints mesh	lattice constant	symmetry precision (SYMPREC)	energy cutoff (ENCUT)	k-point spacing (KSPACING)	volume	time step (POTIM)	mixing parameter (AMIX)	mixing parameter (BMIX)	electronic convergence (EDIFF)	force convergence (EDIFFG)	elapsed time (sec)	Scaling	a1	a2	a3
2	-3.1399847	-3.80393942	144	19	(12, 12, 1)	3.9837168580563134	1e-05	300.0	None	None	0.5	None	None	1e-06	-0.001	16.442	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14001489	-3.80393079	144	19	(12, 12, 1)	3.9837168580563134	1e-05	350.0	None	None	0.5	None	None	1e-06	-0.001	17.158	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14025426	-3.80393412	144	19	(12, 12, 1)	3.9837168580563134	1e-05	400.0	None	None	0.5	None	None	1e-06	-0.001	20.359	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14055196	-3.80393941	144	19	(12, 12, 1)	3.9837168580563134	1e-05	450.0	None	None	0.5	None	None	1e-06	-0.001	22.988	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14067075	-3.80394997	144	19	(12, 12, 1)	3.9837168580563134	1e-05	500.0	None	None	0.5	None	None	1e-06	-0.001	28.19	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14071368	-3.8039461	144	19	(12, 12, 1)	3.9837168580563134	1e-05	550.0	None	None	0.5	None	None	1e-06	-0.001	29.703	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14072004	-3.80394035	144	19	(12, 12, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	41.114	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14072772	-3.80393738	144	19	(12, 12, 1)	3.9837168580563134	1e-05	650.0	None	None	0.5	None	None	1e-06	-0.001	49.281	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14075314	-3.80394084	144	19	(12, 12, 1)	3.9837168580563134	1e-05	700.0	None	None	0.5	None	None	1e-06	-0.001	52.946	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14078849	-3.80394445	144	19	(12, 12, 1)	3.9837168580563134	1e-05	750.0	None	None	0.5	None	None	1e-06	-0.001	61.184	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14082137	-3.80394861	144	19	(12, 12, 1)	3.9837168580563134	1e-05	800.0	None	None	0.5	None	None	1e-06	-0.001	74.751	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14084825	-3.80395021	144	19	(12, 12, 1)	3.9837168580563134	1e-05	850.0	None	None	0.5	None	None	1e-06	-0.001	75.636	1.0	3.983716857408417	3.983716857408417	40.0
