total atom count	total energy	atom energy	cohesive energy	total kpoints	kpoints mesh	energy cutoff (ENCUT)	Scaling	lattice constant
2	-3.14589374	-0.03838517	-1.5345617	169	(13, 13, 1)	600.0	1.0	3.9837168580563134
2	-3.14941368	-0.03838517	-1.53632167	225	(15, 15, 1)	600.0	1.0	3.9837168580563134
2	-3.14835189	-0.03838517	-1.535790775	289	(17, 17, 1)	600.0	1.0	3.9837168580563134
2	-3.14916607	-0.03838517	-1.536197865	361	(19, 19, 1)	600.0	1.0	3.9837168580563134
2	-3.151025	-0.03838517	-1.5371273300000001	441	(21, 21, 1)	600.0	1.0	3.9837168580563134
2	-3.14982977	-0.03838517	-1.5365297150000001	529	(23, 23, 1)	600.0	1.0	3.9837168580563134
2	-3.14984807	-0.03838517	-1.536538865	625	(25, 25, 1)	600.0	1.0	3.9837168580563134
2	-3.15055453	-0.03838517	-1.536892095	729	(27, 27, 1)	600.0	1.0	3.9837168580563134
2	-3.14962958	-0.03838517	-1.53642962	841	(29, 29, 1)	600.0	1.0	3.9837168580563134
2	-3.14981054	-0.03838517	-1.5365201	961	(31, 31, 1)	600.0	1.0	3.9837168580563134
2	-3.15016596	-0.03838517	-1.53669781	1089	(33, 33, 1)	600.0	1.0	3.9837168580563134
2	-3.14969407	-0.03838517	-1.536461865	1225	(35, 35, 1)	600.0	1.0	3.9837168580563134
2	-3.14974018	-0.03838517	-1.53648492	1369	(37, 37, 1)	600.0	1.0	3.9837168580563134
2	-3.14998518	-0.03838517	-1.53660742	1521	(39, 39, 1)	600.0	1.0	3.9837168580563134
2	-3.14980013	-0.03838517	-1.536514895	1681	(41, 41, 1)	600.0	1.0	3.9837168580563134
2	-3.14977178	-0.03838517	-1.53650072	1849	(43, 43, 1)	600.0	1.0	3.9837168580563134
2	-3.14994949	-0.03838517	-1.536589575	2025	(45, 45, 1)	600.0	1.0	3.9837168580563134
2	-3.14988634	-0.03838517	-1.536558	2209	(47, 47, 1)	600.0	1.0	3.9837168580563134
