total atom count	total energy	atom energy	cohesive energy	total kpoints	kpoints mesh	energy cutoff (ENCUT)	Scaling	lattice constant
2	-3.14272733	-0.03838517	-1.532978495	144	(12, 12, 1)	600.0	1.0	3.9837168580563134
2	-3.14589374	-0.03838517	-1.5345617	169	(13, 13, 1)	600.0	1.0	3.9837168580563134
2	-3.15603761	-0.03838517	-1.539633635	196	(14, 14, 1)	600.0	1.0	3.9837168580563134
2	-3.14941368	-0.03838517	-1.53632167	225	(15, 15, 1)	600.0	1.0	3.9837168580563134
2	-3.15275829	-0.03838517	-1.537993975	256	(16, 16, 1)	600.0	1.0	3.9837168580563134
2	-3.14835189	-0.03838517	-1.535790775	289	(17, 17, 1)	600.0	1.0	3.9837168580563134
2	-3.14694191	-0.03838517	-1.535085785	324	(18, 18, 1)	600.0	1.0	3.9837168580563134
2	-3.14916607	-0.03838517	-1.536197865	361	(19, 19, 1)	600.0	1.0	3.9837168580563134
2	-3.15057981	-0.03838517	-1.536904735	400	(20, 20, 1)	600.0	1.0	3.9837168580563134
2	-3.151025	-0.03838517	-1.5371273300000001	441	(21, 21, 1)	600.0	1.0	3.9837168580563134
2	-3.15010896	-0.03838517	-1.53666931	484	(22, 22, 1)	600.0	1.0	3.9837168580563134
2	-3.14982977	-0.03838517	-1.5365297150000001	529	(23, 23, 1)	600.0	1.0	3.9837168580563134
2	-3.14826333	-0.03838517	-1.535746495	576	(24, 24, 1)	600.0	1.0	3.9837168580563134
2	-3.14984807	-0.03838517	-1.536538865	625	(25, 25, 1)	600.0	1.0	3.9837168580563134
2	-3.1498593	-0.03838517	-1.53654448	676	(26, 26, 1)	600.0	1.0	3.9837168580563134
2	-3.15055453	-0.03838517	-1.536892095	729	(27, 27, 1)	600.0	1.0	3.9837168580563134
2	-3.15023336	-0.03838517	-1.53673151	784	(28, 28, 1)	600.0	1.0	3.9837168580563134
2	-3.14962958	-0.03838517	-1.53642962	841	(29, 29, 1)	600.0	1.0	3.9837168580563134
2	-3.14932475	-0.03838517	-1.536277205	900	(30, 30, 1)	600.0	1.0	3.9837168580563134
2	-3.14981054	-0.03838517	-1.5365201	961	(31, 31, 1)	600.0	1.0	3.9837168580563134
2	-3.14983947	-0.03838517	-1.536534565	1024	(32, 32, 1)	600.0	1.0	3.9837168580563134
2	-3.15016596	-0.03838517	-1.53669781	1089	(33, 33, 1)	600.0	1.0	3.9837168580563134
2	-3.15021382	-0.03838517	-1.53672174	1156	(34, 34, 1)	600.0	1.0	3.9837168580563134
2	-3.14969407	-0.03838517	-1.536461865	1225	(35, 35, 1)	600.0	1.0	3.9837168580563134
2	-3.14971517	-0.03838517	-1.536472415	1296	(36, 36, 1)	600.0	1.0	3.9837168580563134
2	-3.14974018	-0.03838517	-1.53648492	1369	(37, 37, 1)	600.0	1.0	3.9837168580563134
2	-3.14989574	-0.03838517	-1.5365627	1444	(38, 38, 1)	600.0	1.0	3.9837168580563134
2	-3.14998518	-0.03838517	-1.53660742	1521	(39, 39, 1)	600.0	1.0	3.9837168580563134
2	-3.15013155	-0.03838517	-1.536680605	1600	(40, 40, 1)	600.0	1.0	3.9837168580563134
2	-3.14980013	-0.03838517	-1.536514895	1681	(41, 41, 1)	600.0	1.0	3.9837168580563134
2	-3.14985004	-0.03838517	-1.53653985	1764	(42, 42, 1)	600.0	1.0	3.9837168580563134
2	-3.14977178	-0.03838517	-1.53650072	1849	(43, 43, 1)	600.0	1.0	3.9837168580563134
2	-3.14987879	-0.03838517	-1.536554225	1936	(44, 44, 1)	600.0	1.0	3.9837168580563134
2	-3.14994949	-0.03838517	-1.536589575	2025	(45, 45, 1)	600.0	1.0	3.9837168580563134
2	-3.15001297	-0.03838517	-1.536621315	2116	(46, 46, 1)	600.0	1.0	3.9837168580563134
2	-3.14988634	-0.03838517	-1.536558	2209	(47, 47, 1)	600.0	1.0	3.9837168580563134
2	-3.14985181	-0.03838517	-1.536540735	2304	(48, 48, 1)	600.0	1.0	3.9837168580563134
