total atom count	total energy	fermi energy	total kpoints	calculated kpoints	kpoints mesh	lattice constant	symmetry precision (SYMPREC)	energy cutoff (ENCUT)	k-point spacing (KSPACING)	volume	time step (POTIM)	mixing parameter (AMIX)	mixing parameter (BMIX)	electronic convergence (EDIFF)	force convergence (EDIFFG)	elapsed time (sec)	Scaling	a1	a2	a3
2	-3.11979297	-3.72085283	16	4	(4, 4, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	15.071	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14059096	-3.65972999	25	5	(5, 5, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	17.853	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.0636667	-3.76170584	36	7	(6, 6, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	18.05	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.147863	-3.9551123	49	8	(7, 7, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	19.215	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.17613373	-3.8379599	64	10	(8, 8, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	22.572	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14505003	-3.8545463	81	12	(9, 9, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	29.294	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.15923986	-3.77979845	100	14	(10, 10, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	33.464	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14153947	-3.75124257	121	16	(11, 11, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	35.005	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14272733	-3.80394035	144	19	(12, 12, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	43.238	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14589374	-3.82618747	169	21	(13, 13, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	47.282	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.15603761	-3.81389501	196	24	(14, 14, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	51.513	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14941368	-3.80014298	225	27	(15, 15, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	59.347	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.15275829	-3.78207036	256	30	(16, 16, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	68.447	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14835189	-3.78477974	289	33	(17, 17, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	71.85	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14694191	-3.79756249	324	37	(18, 18, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	80.102	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14916607	-3.80853709	361	40	(19, 19, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	86.058	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.15057981	-3.80204933	400	44	(20, 20, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	92.312	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.151025	-3.79133293	441	48	(21, 21, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	93.113	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.15010896	-3.7888853	484	52	(22, 22, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	97.142	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14982977	-3.79268568	529	56	(23, 23, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	108.342	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14826333	-3.79677711	576	61	(24, 24, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	116.34	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14984807	-3.8005281	625	65	(25, 25, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	125.433	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.1498593	-3.7967831	676	70	(26, 26, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	137.362	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14962958	-3.79367188	841	85	(29, 29, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	156.456	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14981054	-3.79698658	961	96	(31, 31, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	182.635	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14983947	-3.79668269	1024	102	(32, 32, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	193.181	1.0	3.983716857408417	3.983716857408417	40.0
