total atom count	total energy	fermi energy	total kpoints	calculated kpoints	kpoints mesh	lattice constant	symmetry precision (SYMPREC)	energy cutoff (ENCUT)	k-point spacing (KSPACING)	volume	time step (POTIM)	mixing parameter (AMIX)	mixing parameter (BMIX)	electronic convergence (EDIFF)	force convergence (EDIFFG)	elapsed time (sec)	Scaling	a1	a2	a3
2	-3.14272733	-3.80394035	144	19	(12, 12, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	43.238	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14589374	-3.82618747	169	21	(13, 13, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	47.282	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.15603761	-3.81389501	196	24	(14, 14, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	51.513	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14941368	-3.80014298	225	27	(15, 15, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	59.347	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.15275829	-3.78207036	256	30	(16, 16, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	68.447	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.15055453	-3.79498354	729	75	(27, 27, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	70.335	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14835189	-3.78477974	289	33	(17, 17, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	71.85	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.15023336	-3.79437646	784	80	(28, 28, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	75.97	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14932475	-3.79736983	900	91	(30, 30, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	77.393	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14694191	-3.79756249	324	37	(18, 18, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	80.102	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14916607	-3.80853709	361	40	(19, 19, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	86.058	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.15057981	-3.80204933	400	44	(20, 20, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	92.312	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.151025	-3.79133293	441	48	(21, 21, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	93.113	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.15010896	-3.7888853	484	52	(22, 22, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	97.142	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.15016596	-3.79514556	1089	108	(33, 33, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	107.772	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14982977	-3.79268568	529	56	(23, 23, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	108.342	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.15021382	-3.79623021	1156	114	(34, 34, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	111.344	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14826333	-3.79677711	576	61	(24, 24, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	116.34	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14984807	-3.8005281	625	65	(25, 25, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	125.433	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14969407	-3.79490126	1225	120	(35, 35, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	126.984	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14971517	-3.79669461	1296	127	(36, 36, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	132.288	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.1498593	-3.7967831	676	70	(26, 26, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	137.362	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14989574	-3.79639348	1444	140	(38, 38, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	142.653	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14974018	-3.79623654	1369	133	(37, 37, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	149.354	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14998518	-3.7964588	1521	147	(39, 39, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	152.691	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14962958	-3.79367188	841	85	(29, 29, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	156.456	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14980013	-3.79584371	1681	161	(41, 41, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	156.551	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.15013155	-3.79557925	1600	154	(40, 40, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	163.134	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14981054	-3.79698658	961	96	(31, 31, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	182.635	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14994949	-3.79665871	2025	192	(45, 45, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	183.489	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14985004	-3.7958039	1764	169	(42, 42, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	191.913	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14983947	-3.79668269	1024	102	(32, 32, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	193.181	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14977178	-3.7963127	1849	176	(43, 43, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	198.72	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.15001297	-3.79573283	2116	200	(46, 46, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	203.216	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14987879	-3.796147	1936	184	(44, 44, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	209.486	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14985181	-3.79589984	2304	217	(48, 48, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	219.62	1.0	3.983716857408417	3.983716857408417	40.0
