total atom count	total energy	atom energy	cohesive energy	total kpoints	kpoints mesh	energy cutoff (ENCUT)	Scaling	lattice constant
2	-3.14984807	-0.03838517	-1.536538865	625	(25, 25, 1)	600.0	1.0	3.9837168580563134
2	-3.14606235	-0.03838517	-1.534646005	625	(25, 25, 1)	600.0	1.001	3.9877005756993698
2	-3.15359647	-0.03838517	-1.538413065	625	(25, 25, 1)	600.0	0.999	3.9797331404132565
2	-3.15730691	-0.03838517	-1.540268285	625	(25, 25, 1)	600.0	0.998	3.9757494227702006
2	-3.14223996	-0.03838517	-1.53273481	625	(25, 25, 1)	600.0	1.002	3.991684293342426
2	-3.13838142	-0.03838517	-1.53080554	625	(25, 25, 1)	600.0	1.003	3.9956680059854826
2	-3.13448779	-0.03838517	-1.528858725	625	(25, 25, 1)	600.0	1.004	3.9996517236285385
2	-3.16097881	-0.03838517	-1.542104235	625	(25, 25, 1)	600.0	0.997	3.9717657051271447
2	-3.1646116	-0.03838517	-1.5439206300000001	625	(25, 25, 1)	600.0	0.996	3.967781987484088
2	-3.17874162	-0.03838517	-1.55098564	625	(25, 25, 1)	600.0	0.992	3.951847121911863
2	-3.18555967	-0.03838517	-1.554394665	625	(25, 25, 1)	600.0	0.99	3.9438796866257504
2	-3.21111755	-0.03838517	-1.567173605	625	(25, 25, 1)	600.0	0.982	3.9120099554812997
2	-3.20499008	-0.03838517	-1.56410987	625	(25, 25, 1)	600.0	0.984	3.9199773857674125
2	-3.16820478	-0.03838517	-1.54571722	625	(25, 25, 1)	600.0	0.995	3.963798274841032
2	-3.17527023	-0.03838517	-1.5492499450000001	625	(25, 25, 1)	600.0	0.993	3.955830839554919
2	-3.18217152	-0.03838517	-1.55270059	625	(25, 25, 1)	600.0	0.991	3.9478634042688068
2	-3.18890561	-0.03838517	-1.556067635	625	(25, 25, 1)	600.0	0.989	3.939895973982694
2	-3.19546936	-0.03838517	-1.55934951	625	(25, 25, 1)	600.0	0.987	3.931928538696581
2	-3.20186021	-0.03838517	-1.562544935	625	(25, 25, 1)	600.0	0.985	3.9239611034104684
2	-3.20807593	-0.03838517	-1.565652795	625	(25, 25, 1)	600.0	0.983	3.915993673124356
2	-3.21411475	-0.03838517	-1.568672205	625	(25, 25, 1)	600.0	0.981	3.9080262378382438
