total atom count	total energy	fermi energy	total kpoints	calculated kpoints	kpoints mesh	lattice constant	symmetry precision (SYMPREC)	energy cutoff (ENCUT)	k-point spacing (KSPACING)	volume	time step (POTIM)	mixing parameter (AMIX)	mixing parameter (BMIX)	electronic convergence (EDIFF)	force convergence (EDIFFG)	elapsed time (sec)	Scaling	a1	a2	a3
2	-3.24271347	-4.12593181	841	85	(29, 29, 1)	3.5056708358895556	1e-05	600.0	None	None	0.5	None	None	0.0001	-0.001	46.836	0.88	3.505670834519407	3.505670834519407	35.20000000000001
2	-3.27025322	-4.11858337	841	85	(29, 29, 1)	3.5455080023201186	1e-05	600.0	None	None	0.5	None	None	0.0001	-0.001	48.609	0.89	3.5455080030934916	3.5455080030934916	35.60000000000001
2	-3.11117149	-3.76469982	841	85	(29, 29, 1)	4.023554024486876	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	57.447	1.01	4.023554025982501	4.023554025982501	40.4
2	-3.30148205	-4.05106577	841	85	(29, 29, 1)	3.625182340181245	1e-05	600.0	None	None	0.5	None	None	0.0001	-0.001	60.566	0.91	3.625182340241659	3.625182340241659	36.39999999999999
2	-3.30698727	-4.01884923	841	85	(29, 29, 1)	3.665019506611808	1e-05	600.0	None	None	0.5	None	None	0.0001	-0.001	61.777	0.92	3.665019508815744	3.665019508815744	36.800000000000004
2	-3.28580183	-3.94463099	841	85	(29, 29, 1)	3.7845310159034975	1e-05	600.0	None	None	0.5	None	None	0.0001	-0.001	63.318	0.95	3.7845310145379956	3.7845310145379956	38.0
2	-3.29891619	-3.97641616	841	85	(29, 29, 1)	3.7446938444729345	1e-05	600.0	None	None	0.5	None	None	0.0001	-0.001	63.888	0.94	3.744693845963911	3.744693845963911	37.599999999999994
2	-3.30608425	-3.99918875	841	85	(29, 29, 1)	3.704856678042371	1e-05	600.0	None	None	0.5	None	None	0.0001	-0.001	64.91	0.93	3.704856677389828	3.704856677389828	37.2
2	-3.289467	-4.07955467	841	85	(29, 29, 1)	3.585345173750682	1e-05	600.0	None	None	0.5	None	None	0.0001	-0.001	64.929	0.9	3.585345171667576	3.585345171667576	36.0
2	-3.2671157	-3.90251533	841	85	(29, 29, 1)	3.8243681823340605	1e-05	600.0	None	None	0.5	None	None	0.0001	-0.001	92.377	0.96	3.8243681831120804	3.8243681831120804	38.4
2	-3.24365946	-3.87108047	841	85	(29, 29, 1)	3.864205353764624	1e-05	600.0	None	None	0.5	None	None	0.0001	-0.001	92.804	0.97	3.8642053516861647	3.8642053516861647	38.8
2	-3.21606551	-3.85465219	841	85	(29, 29, 1)	3.904042520195187	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	137.762	0.98	3.9040425202602487	3.9040425202602487	39.2
2	-3.18461705	-3.82519295	841	85	(29, 29, 1)	3.9438796866257504	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	137.833	0.99	3.943879688834333	3.943879688834333	39.60000000000001
2	-3.14962958	-3.79367188	841	85	(29, 29, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	156.456	1.0	3.983716857408417	3.983716857408417	40.0
