total atom count	total energy	atom energy	cohesive energy	total kpoints	kpoints mesh	energy cutoff (ENCUT)	Scaling	lattice constant
2	-3.14199142	-0.03838517	-1.53261054	144	(12, 12, 1)	300.0	1.0	3.9837168580563134
2	-3.14202175	-0.03838517	-1.532625705	144	(12, 12, 1)	350.0	1.0	3.9837168580563134
2	-3.14226143	-0.03838517	-1.532745545	144	(12, 12, 1)	400.0	1.0	3.9837168580563134
2	-3.14255928	-0.03838517	-1.53289447	144	(12, 12, 1)	450.0	1.0	3.9837168580563134
2	-3.14267803	-0.03838517	-1.532953845	144	(12, 12, 1)	500.0	1.0	3.9837168580563134
2	-3.14272099	-0.03838517	-1.532975325	144	(12, 12, 1)	550.0	1.0	3.9837168580563134
2	-3.14272733	-0.03838517	-1.532978495	144	(12, 12, 1)	600.0	1.0	3.9837168580563134
2	-3.14273503	-0.03838517	-1.532982345	144	(12, 12, 1)	650.0	1.0	3.9837168580563134
2	-3.1427605	-0.03838517	-1.53299508	144	(12, 12, 1)	700.0	1.0	3.9837168580563134
2	-3.14279591	-0.03838517	-1.533012785	144	(12, 12, 1)	750.0	1.0	3.9837168580563134
2	-3.14282883	-0.03838517	-1.533029245	144	(12, 12, 1)	800.0	1.0	3.9837168580563134
2	-3.14285574	-0.03838517	-1.5330427	144	(12, 12, 1)	850.0	1.0	3.9837168580563134
