total atom count	total energy	fermi energy	total kpoints	calculated kpoints	kpoints mesh	lattice constant	symmetry precision (SYMPREC)	energy cutoff (ENCUT)	k-point spacing (KSPACING)	volume	time step (POTIM)	mixing parameter (AMIX)	mixing parameter (BMIX)	electronic convergence (EDIFF)	force convergence (EDIFFG)	elapsed time (sec)	Scaling	a1	a2	a3
2	-3.14589374	-3.82618747	169	21	(13, 13, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	47.282	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14941368	-3.80014298	225	27	(15, 15, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	59.347	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.15055453	-3.79498354	729	75	(27, 27, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	70.335	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14835189	-3.78477974	289	33	(17, 17, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	71.85	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14916607	-3.80853709	361	40	(19, 19, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	86.058	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.151025	-3.79133293	441	48	(21, 21, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	93.113	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.15016596	-3.79514556	1089	108	(33, 33, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	107.772	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14982977	-3.79268568	529	56	(23, 23, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	108.342	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14984807	-3.8005281	625	65	(25, 25, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	125.433	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14969407	-3.79490126	1225	120	(35, 35, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	126.984	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14974018	-3.79623654	1369	133	(37, 37, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	149.354	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14998518	-3.7964588	1521	147	(39, 39, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	152.691	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14962958	-3.79367188	841	85	(29, 29, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	156.456	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14980013	-3.79584371	1681	161	(41, 41, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	156.551	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14981054	-3.79698658	961	96	(31, 31, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	182.635	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14994949	-3.79665871	2025	192	(45, 45, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	183.489	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14977178	-3.7963127	1849	176	(43, 43, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	198.72	1.0	3.983716857408417	3.983716857408417	40.0
2	-3.14988634	-3.79597814	2209	208	(47, 47, 1)	3.9837168580563134	1e-05	600.0	None	None	0.5	None	None	1e-06	-0.001	428.031	1.0	3.983716857408417	3.983716857408417	40.0
